LBA	LIBYAN GYMNASTICS FEDERATION	UAG
LBN	FEDERATION LIBANAISE DE GYMNASTIQUE	AGU
LES	LESOTHO GYMNASTICS FEDERATION	UAG
LIE	TURNVERBAND LIECHTENSTEIN	EG
LTU	LIETUVOS GIMNASTIKOS FEDERACIJA	EG
LUX	FEDERATION LUXEMBOURGEOISE DE GYMNASTIQUE	EG
MAD	FEDERATION MALGACHE DE GYMNASTIQUE	UAG
MAR	FEDERATION ROYALE MAROCAINE DE GYMNASTIQUE	UAG
MAS	MALAYSIAN GYMNASTICS FEDERATION	AGU
MDA	UNION OF GYMNASTICS FED. OF THE REP. OF MOLDOVA	EG
MEX	FEDERACION MEXICANA DE GIMNASIA	PAGU
MGL	MONGOLIAN GYMNASTICS FEDERATION	AGU
MKD	FEDERATION OF GYMNASTICS SPORTS OF MACEDONIA	EG
MLI	FEDERATION MALIENNE DE GYMNASTIQUE	UAG
MLT	MALTA GYMNASTICS FEDERATION	EG
MNE	GYMNASTIC FEDERATION OF MONTENEGRO	EG
MON	FEDERATION MONEGASQUE DE GYMNASTIQUE	EG
MOZ	FEDERACAO DE GINASTICA DE MOCAMBIQUE	UAG
MRI	THE GYMNASTICS FEDERATION OF MAURITIUS	UAG
MYA	MYANMAR GYMNASTICS FEDERATION	AGU
NAM	NAMIBIAN GYMNASTICS FEDERATION	UAG
NCA	FEDERACION NICARAGUENSE DE GIMNASIA	PAGU
NED	KONINKLIJKE NEDERLANDSE GYMNASTIEK UNIE	EG
NEP	NEPAL GYMNASTICS ASSOCIATION	AGU
NGR	GYMNASTICS FEDERATION OF NIGERIA	UAG
NOR	NORGES GYMNASTIKK- OG TURNFORBUND	EG
NZL	GYMNASTICS NEW ZEALAND	OGU
PAK	PAKISTAN GYMNASTICS FEDERATION	AGU
PAN	FEDERACION PANAMENA DE GIMNASIA	PAGU
PAR	FEDERACION PARAGUAYA DE GIMNASIA	PAGU
PER	FEDERACION DEPORTIVA PERUANA DE GIMNASIA	PAGU
PHI	GYMNASTICS ASSOCIATION OF THE PHILIPPINES (GAP)	AGU
PLE	PALESTINIAN GYMNASTICS FEDERATION	AGU
PNG	PAPUA NEW GUINEA GYMNASTICS FEDERATION	OGU
POL	POLISH GYMNASTICS ASSOCIATION	EG
POR	GYMNASTICS FEDERATION OF PORTUGAL	EG
PRK	GYM. ASSOC. DEM. PEOPLES REP. OF KOREA	AGU
PUR	FEDERACION PUERTORRIQUENA DE GIMNASIA	PAGU
QAT	QATAR GYMNASTICS FEDERATION (QGF)	AGU
ROU	FEDERATIA ROMANA DE GIMNASTICA	EG
RSA	SOUTH AFRICAN GYMNASTICS FEDERATION	UAG
RUS	RUSSIAN GYMNASTICS FEDERATION	EG
RWA	FEDERATION RWANDAISE DE GYMNASTIQUE	UAG
SEN	SENEGALESE GYMNASTICS FEDERATION	UAG
SGP	SINGAPORE GYMNASTICS	AGU
SLE	SIERRA LEONE GYMNASTICS FEDERATION	UAG
SLO	SLOVENIAN GYMNASTICS FEDERATION	EG
SMR	FEDERAZIONE SAMMARINESE GINNASTICA	EG
SRB	GYMNASTICS FEDERATION OF SERBIA	EG
SRI	NATIONAL GYMNASTIC ASSOCIATION OF SRI LANKA	AGU
STP	ASS DE GYM. SAO TOME ET PRINCIPE	UAG
SUD	SUDANESE GYMNASTICS FEDERATION	UAG
SUI	SCHWEIZERISCHER TURNVERBAND	EG
SVK	SLOVENSKA GYMNASTICKA FEDERACIA	EG
SWE	SVENSKA GYMNASTIKFOERBUNDET	EG
SWZ	ESWATINI GYMNASTICS FEDERATION	UAG
SYR	FEDERATION SYRIENNE DE GYMNASTIQUE	AGU
TGA	TONGA GYMNASTICS FEDERATION	OGU
THA	THE GYMNASTICS ASSOCIATION OF THAILAND	AGU
TJK	FEDERATION OF GYMNASTICS OF REP. OF TAJIKISTAN	AGU
TKM	GYMNASTICS FEDERATION OF TURKMENISTAN	AGU
TOG	FEDERATION TOGOLAISE DE GYMNASTIQUE	UAG
TPE	CHINESE TAIPEI GYMNASTIC ASSOCIATION	AGU
TTO	TRINIDAD AND TOBAGO GYMNASTICS FEDERATION (T.T.G.F.)	PAGU
TUN	FEDERATION TUNISIENNE DE GYMNASTIQUE	UAG
TUR	TURKIYE CIMNASTIK FEDERASYONU	EG
UGA	GYMNASTICS ASSOCIATION OF UGANDA	UAG
UKR	UKRAINIAN GYMNASTICS FEDERATION	EG
URU	FEDERACION URUGUAYA DE GIMNASIA	PAGU
USA	USA GYMNASTICS	PAGU
UZB	UZBEKISTAN GYMNASTICS FEDERATION	AGU
VEN	FEDERACION VENEZOLANA DE GIMNASIA	PAGU
VIE	ASSOC. DE GYM. REP. SOC. DU VIETNAM	AGU
VIN	ST VINCENT AND THE GRENADINES GYM. ASSOC.	PAGU
YEM	YEMEN GYMNASTICS FEDERATION	AGU
ZAM	ZAMBIA FEDERATION OF GYMNASTICS -ZFG	UAG
ZIM	GYMNASTICS ZIMBABWE	UAG
